index,noise_type,snr_db,original_index
79918,sp,-30,30530
79919,sp,-10,17166
79920,gaussian,-30,48304
79921,sp,-30,27452
79922,gaussian,-30,31440
79923,sp,-25,25781
79924,gaussian,-10,20560
79925,burst,-15,33928
79926,gaussian,-10,2998
79927,gaussian,-15,6602
79928,gaussian,-25,16282
79929,gaussian,-30,29892
79930,sp,-15,18828
79931,gaussian,-30,31790
79932,gaussian,-10,20092
79933,sp,-30,593
79934,burst,-10,46988
79935,sp,-20,2746
79936,gaussian,-10,10932
79937,gaussian,-20,10503
79938,burst,-20,3620
79939,gaussian,-25,49244
79940,burst,-20,37635
79941,burst,-20,29642
79942,gaussian,-15,44887
79943,sp,-15,7490
79944,sp,-10,190
79945,gaussian,-15,5952
79946,sp,-10,41276
79947,burst,-15,4365
79948,sp,-15,41943
79949,sp,-15,43977
79950,gaussian,-25,16510
79951,gaussian,-30,40578
79952,gaussian,-15,8020
79953,sp,-30,23155
79954,gaussian,-30,40659
79955,burst,-20,2047
79956,gaussian,-20,17109
79957,gaussian,-10,17587
79958,burst,-20,33114
79959,burst,-30,13494
79960,burst,-20,36132
79961,gaussian,-20,48352
79962,burst,-15,4088
79963,burst,-10,29185
79964,gaussian,-10,48011
79965,gaussian,-30,24907
79966,gaussian,-15,15929
79967,sp,-20,39193
79968,gaussian,-10,12139
79969,burst,-20,35146
79970,gaussian,-30,31806
79971,burst,-20,39867
79972,sp,-10,28402
79973,burst,-20,31027
79974,sp,-30,32058
79975,burst,-30,36463
79976,gaussian,-20,48872
79977,burst,-20,25791
79978,sp,-30,6340
79979,gaussian,-10,25395
79980,gaussian,-30,18932
79981,gaussian,-20,41128
79982,burst,-25,17207
79983,burst,-10,14937
79984,burst,-25,4729
79985,sp,-30,41172
79986,gaussian,-15,24146
79987,sp,-10,1279
79988,gaussian,-25,31974
79989,burst,-15,4908
79990,sp,-15,13716
79991,sp,-20,13103
79992,sp,-25,30782
79993,gaussian,-25,36295
79994,sp,-30,12859
79995,gaussian,-20,6185
79996,burst,-10,20227
79997,burst,-25,37573
79998,gaussian,-15,48842
79999,gaussian,-15,45148
80000,burst,-20,49337
80001,sp,-15,48743
80002,burst,-15,41404
80003,gaussian,-25,41048
80004,sp,-15,30936
80005,burst,-15,3512
80006,gaussian,-30,9238
80007,sp,-15,48921
80008,burst,-25,11423
80009,gaussian,-30,25266
80010,gaussian,-25,5498
80011,sp,-15,21647
80012,gaussian,-20,47701
80013,sp,-25,30891
80014,burst,-30,20248
80015,gaussian,-20,21025
80016,gaussian,-10,40353
80017,sp,-20,3036
80018,sp,-10,4425
80019,sp,-25,25180
80020,sp,-10,26761
80021,gaussian,-10,6575
80022,burst,-15,43464
80023,sp,-30,35274
80024,burst,-10,17450
80025,sp,-15,12349
80026,burst,-25,47522
80027,burst,-20,3789
80028,gaussian,-20,2569
80029,gaussian,-25,17257
80030,gaussian,-10,5077
80031,burst,-15,3380
80032,gaussian,-25,22627
80033,gaussian,-30,36795
80034,burst,-15,12683
80035,sp,-20,41546
80036,burst,-15,20903
80037,sp,-20,2322
80038,sp,-25,4124
80039,burst,-15,16057
80040,gaussian,-10,22149
80041,sp,-20,44831
80042,sp,-25,868
80043,gaussian,-30,16784
80044,gaussian,-10,26912
80045,gaussian,-15,16009
80046,gaussian,-10,46478
80047,burst,-30,24830
80048,gaussian,-20,3114
80049,sp,-15,25494
80050,sp,-15,35907
80051,burst,-10,40665
80052,sp,-30,30799
80053,burst,-20,15908
80054,burst,-10,31156
80055,burst,-10,49605
80056,burst,-30,3244
80057,burst,-25,28031
80058,sp,-10,42181
80059,burst,-10,23433
80060,gaussian,-30,21846
80061,gaussian,-15,15608
80062,burst,-30,2979
80063,sp,-25,5830
80064,burst,-30,10611
80065,gaussian,-25,28181
80066,sp,-15,28537
80067,burst,-20,39717
80068,sp,-15,15981
80069,burst,-15,8953
80070,gaussian,-25,14114
80071,gaussian,-30,25530
80072,sp,-20,11806
80073,gaussian,-20,32484
80074,sp,-25,36016
80075,sp,-10,22816
80076,gaussian,-10,16840
80077,gaussian,-25,740
80078,gaussian,-20,9779
80079,gaussian,-10,3178
80080,burst,-10,41601
80081,gaussian,-15,34706
80082,burst,-25,2546
80083,gaussian,-10,1718
80084,burst,-10,42292
80085,gaussian,-25,543
80086,burst,-20,4059
80087,gaussian,-30,20180
80088,gaussian,-10,33770
80089,gaussian,-30,22404
80090,gaussian,-10,14955
80091,burst,-15,36298
80092,burst,-10,25432
80093,burst,-15,26354
80094,burst,-20,25609
80095,gaussian,-20,32859
80096,gaussian,-10,39525
80097,sp,-25,33885
80098,sp,-20,27110
80099,gaussian,-10,47645
80100,gaussian,-10,35036
80101,gaussian,-20,46689
80102,gaussian,-25,17546
80103,gaussian,-25,19108
80104,sp,-20,16981
80105,sp,-10,39799
80106,gaussian,-25,49083
80107,gaussian,-30,20311
80108,burst,-30,43306
80109,burst,-25,42251
80110,burst,-25,14405
80111,burst,-20,20893
80112,burst,-20,1871
80113,sp,-20,34209
80114,gaussian,-10,45876
80115,sp,-10,15001
80116,gaussian,-20,7031
80117,sp,-15,36295
80118,sp,-15,48957
80119,sp,-15,28650
80120,gaussian,-25,8151
80121,sp,-25,11720
80122,gaussian,-20,20100
80123,burst,-20,22467
80124,sp,-20,44284
80125,gaussian,-20,42761
80126,burst,-20,9457
80127,sp,-10,16533
80128,sp,-20,27774
80129,gaussian,-25,15823
80130,sp,-20,20689
80131,gaussian,-30,17211
80132,gaussian,-20,13865
80133,sp,-10,33312
80134,burst,-10,6962
80135,gaussian,-25,39305
80136,burst,-10,4121
80137,burst,-30,34820
80138,gaussian,-25,6700
80139,sp,-15,49257
80140,burst,-30,8635
80141,burst,-10,25339
80142,gaussian,-10,48515
80143,gaussian,-25,20784
80144,gaussian,-20,43111
80145,burst,-20,19600
80146,burst,-15,3762
80147,gaussian,-25,2072
80148,gaussian,-15,40550
80149,gaussian,-25,32437
80150,sp,-25,42567
80151,gaussian,-20,5713
80152,gaussian,-10,21808
80153,gaussian,-15,16616
80154,gaussian,-15,3211
80155,gaussian,-20,41037
80156,sp,-25,30600
80157,burst,-30,49948
80158,gaussian,-20,38332
80159,gaussian,-30,6548
80160,gaussian,-25,42264
80161,sp,-30,21811
80162,gaussian,-20,43920
80163,gaussian,-10,21927
80164,burst,-25,26755
80165,burst,-25,44752
80166,gaussian,-25,46576
80167,sp,-25,31938
80168,sp,-25,46146
80169,gaussian,-15,8763
80170,gaussian,-20,45144
80171,sp,-20,27974
80172,gaussian,-20,31982
80173,burst,-25,25969
80174,gaussian,-15,13568
80175,sp,-30,22445
80176,sp,-20,11774
80177,gaussian,-10,49269
80178,gaussian,-25,40032
80179,gaussian,-10,31191
80180,sp,-15,46021
80181,burst,-20,44112
80182,sp,-15,49120
80183,burst,-30,16464
80184,gaussian,-10,5183
80185,burst,-30,15116
80186,sp,-15,6307
80187,sp,-20,33211
80188,sp,-25,14325
80189,gaussian,-30,2514
80190,sp,-20,36664
80191,sp,-15,12771
80192,gaussian,-10,23403
80193,burst,-10,5343
80194,sp,-10,48567
80195,sp,-15,29082
80196,burst,-30,17862
80197,burst,-30,26854
80198,gaussian,-20,20634
80199,gaussian,-15,2286
80200,sp,-25,47711
80201,sp,-10,32168
80202,burst,-20,46412
80203,burst,-10,20750
80204,burst,-10,31796
80205,gaussian,-20,49424
80206,sp,-25,38765
80207,sp,-15,48475
80208,sp,-25,43716
80209,gaussian,-10,44335
80210,gaussian,-20,2673
80211,gaussian,-15,7813
80212,gaussian,-10,35019
80213,sp,-20,28364
80214,sp,-10,24328
80215,burst,-20,21479
80216,burst,-25,14452
80217,sp,-30,27106
80218,gaussian,-15,27842
80219,burst,-15,29184
80220,sp,-30,43234
80221,gaussian,-30,49432
80222,sp,-25,34748
80223,burst,-25,19638
80224,gaussian,-10,30905
80225,sp,-25,13504
80226,sp,-10,19469
80227,gaussian,-25,31220
80228,burst,-10,42780
80229,burst,-25,3444
80230,sp,-10,45333
80231,gaussian,-10,33517
80232,gaussian,-30,13819
80233,gaussian,-25,27381
80234,gaussian,-30,3749
80235,gaussian,-25,36191
80236,burst,-15,49205
80237,sp,-15,41459
80238,burst,-25,30275
80239,sp,-20,27213
80240,burst,-15,272
80241,burst,-15,31208
80242,gaussian,-15,24931
80243,sp,-30,25123
80244,burst,-15,17314
80245,gaussian,-20,24222
80246,sp,-10,41041
80247,sp,-10,18637
80248,sp,-20,18290
80249,gaussian,-10,40599
80250,sp,-10,25264
80251,gaussian,-10,39573
80252,sp,-15,12319
80253,sp,-15,26424
80254,sp,-25,21588
80255,burst,-10,30435
80256,gaussian,-10,28658
80257,gaussian,-15,43229
80258,sp,-25,40214
80259,burst,-25,19863
80260,sp,-20,27967
80261,sp,-20,44065
80262,burst,-30,47662
80263,burst,-25,15510
80264,sp,-25,32192
80265,sp,-20,33819
80266,burst,-15,39679
80267,gaussian,-30,43071
80268,sp,-15,19736
80269,burst,-20,4719
80270,sp,-30,38744
80271,burst,-25,30113
80272,burst,-30,25755
80273,sp,-30,26650
80274,burst,-15,7659
80275,burst,-25,20627
80276,burst,-15,20852
80277,gaussian,-15,35016
80278,burst,-15,5378
80279,burst,-20,11736
80280,burst,-25,37839
80281,sp,-10,48848
80282,burst,-15,40418
80283,gaussian,-10,29081
80284,burst,-25,1181
80285,sp,-20,39858
80286,burst,-25,24457
80287,gaussian,-15,11088
80288,sp,-10,39696
80289,gaussian,-20,31294
80290,sp,-10,36577
80291,gaussian,-20,9811
80292,burst,-20,48801
80293,burst,-25,2990
80294,sp,-15,33046
80295,gaussian,-20,34153
80296,sp,-30,24407
80297,sp,-10,5888
80298,gaussian,-30,8070
80299,gaussian,-25,3868
80300,burst,-10,16668
80301,gaussian,-20,18992
80302,burst,-20,44736
80303,gaussian,-15,25202
80304,burst,-20,39138
80305,gaussian,-10,33443
80306,sp,-25,32663
80307,sp,-20,41342
80308,gaussian,-30,17635
80309,burst,-15,17450
80310,burst,-15,40279
80311,burst,-15,39771
80312,burst,-10,30614
80313,sp,-10,10636
80314,burst,-30,13227
80315,gaussian,-10,27313
80316,sp,-25,26513
80317,gaussian,-25,49846
80318,burst,-20,38064
80319,burst,-15,18045
80320,burst,-30,47866
80321,sp,-15,26559
80322,sp,-25,44590
80323,burst,-15,39295
80324,sp,-20,12061
80325,gaussian,-30,22969
80326,sp,-30,27772
80327,gaussian,-20,41926
80328,sp,-20,13676
80329,burst,-30,39234
80330,burst,-30,17598
80331,gaussian,-30,4794
80332,sp,-15,1765
80333,burst,-20,28641
80334,burst,-30,29696
80335,sp,-20,33577
80336,gaussian,-30,25237
80337,gaussian,-25,18037
80338,burst,-10,39540
80339,burst,-20,31642
80340,sp,-10,20508
80341,sp,-15,3802
80342,burst,-10,18669
80343,burst,-25,44603
80344,sp,-20,30536
80345,sp,-30,47848
80346,burst,-10,44049
80347,gaussian,-25,39436
80348,gaussian,-15,254
80349,burst,-30,32677
80350,gaussian,-10,33062
80351,sp,-15,49422
80352,sp,-20,24385
80353,gaussian,-15,6114
80354,sp,-10,29100
80355,burst,-10,46778
80356,sp,-20,25841
80357,gaussian,-10,30099
80358,sp,-15,26702
80359,gaussian,-30,14035
80360,gaussian,-10,8072
80361,sp,-30,13876
80362,burst,-30,1289
80363,sp,-15,43400
80364,sp,-25,19120
80365,burst,-15,12258
80366,sp,-15,21058
80367,burst,-30,40639
80368,sp,-20,30305
80369,sp,-25,16550
80370,sp,-20,424
80371,burst,-15,35400
80372,sp,-30,37667
80373,gaussian,-25,36199
80374,burst,-20,34616
80375,gaussian,-20,31511
80376,gaussian,-10,40002
80377,sp,-20,34493
80378,sp,-10,8706
80379,gaussian,-30,41745
80380,gaussian,-30,3358
80381,burst,-10,3851
80382,burst,-25,48832
80383,sp,-25,27515
80384,gaussian,-15,24062
80385,gaussian,-20,15847
80386,gaussian,-10,3264
80387,gaussian,-20,35428
80388,gaussian,-20,49342
80389,sp,-30,20336
80390,gaussian,-30,47182
80391,burst,-20,18120
80392,sp,-25,9159
80393,gaussian,-30,43919
80394,burst,-30,8737
80395,gaussian,-25,40419
80396,sp,-30,30224
80397,gaussian,-15,16839
80398,sp,-15,26948
80399,gaussian,-15,15882
80400,burst,-25,12930
80401,sp,-30,28045
80402,burst,-20,45969
80403,gaussian,-10,26346
80404,burst,-20,10092
80405,sp,-10,44747
80406,gaussian,-10,43469
80407,burst,-10,45587
80408,burst,-30,41017
80409,gaussian,-30,6103
80410,sp,-30,19170
80411,sp,-30,34967
80412,burst,-25,44849
80413,sp,-10,16789
80414,gaussian,-10,33642
80415,sp,-10,28104
80416,sp,-25,4529
80417,burst,-25,36440
80418,gaussian,-30,102
80419,gaussian,-25,37706
80420,gaussian,-30,11179
80421,sp,-10,14744
80422,burst,-30,20331
80423,sp,-30,10339
80424,burst,-30,8465
80425,gaussian,-10,32041
80426,sp,-25,23353
80427,gaussian,-30,37362
80428,gaussian,-25,18132
80429,sp,-25,5082
80430,gaussian,-10,6824
80431,gaussian,-10,14676
80432,gaussian,-25,13523
80433,burst,-25,42856
80434,burst,-15,34830
80435,sp,-15,45093
80436,sp,-15,48216
80437,sp,-10,44836
80438,gaussian,-25,47977
80439,burst,-25,47352
80440,burst,-20,3662
80441,sp,-25,6964
80442,burst,-15,20363
80443,sp,-20,29309
80444,sp,-25,24506
80445,sp,-30,9763
80446,gaussian,-15,49144
80447,sp,-15,26745
80448,burst,-30,11878
80449,gaussian,-25,44817
80450,gaussian,-15,14917
80451,sp,-25,2254
80452,burst,-20,7999
80453,sp,-30,40386
80454,burst,-20,12595
80455,gaussian,-20,48673
80456,burst,-15,34839
80457,sp,-20,44976
80458,sp,-20,15667
80459,sp,-10,18048
80460,gaussian,-20,25115
80461,sp,-30,47037
80462,gaussian,-10,21026
80463,gaussian,-20,29859
80464,burst,-15,36357
80465,sp,-15,35207
80466,gaussian,-25,40387
80467,sp,-15,15487
80468,sp,-30,18248
80469,burst,-25,9272
80470,sp,-30,14151
80471,sp,-30,37862
80472,sp,-20,23399
80473,burst,-20,19004
80474,gaussian,-10,45769
80475,sp,-30,23687
80476,sp,-10,33641
80477,gaussian,-15,30262
80478,sp,-25,15593
80479,gaussian,-20,27078
80480,gaussian,-10,41777
80481,gaussian,-15,14591
80482,gaussian,-25,13951
80483,gaussian,-25,20499
80484,gaussian,-25,11800
80485,sp,-20,7770
80486,burst,-20,17504
80487,burst,-25,11299
80488,sp,-10,26139
80489,burst,-10,14582
80490,burst,-30,35679
80491,gaussian,-10,42228
80492,sp,-10,2092
80493,gaussian,-15,31498
80494,gaussian,-25,43725
80495,burst,-10,42553
80496,burst,-20,5971
80497,burst,-30,6697
80498,burst,-25,35506
80499,gaussian,-25,12368
80500,gaussian,-10,48306
80501,gaussian,-10,36842
80502,gaussian,-20,4050
80503,gaussian,-15,28286
80504,gaussian,-30,39357
80505,sp,-15,8793
80506,sp,-10,8518
80507,sp,-20,1105
80508,burst,-20,42971
80509,burst,-15,8817
80510,gaussian,-20,17407
80511,gaussian,-25,34156
80512,burst,-30,31674
80513,gaussian,-15,33618
80514,gaussian,-20,39214
80515,burst,-10,28171
80516,burst,-20,38059
80517,gaussian,-10,3764
80518,sp,-10,39386
80519,gaussian,-20,45574
80520,burst,-25,36650
80521,gaussian,-20,5865
80522,burst,-15,37515
80523,gaussian,-15,20888
80524,gaussian,-10,49028
80525,sp,-20,41531
80526,sp,-15,7528
80527,gaussian,-25,609
80528,sp,-30,9771
80529,gaussian,-20,46328
80530,gaussian,-30,24588
80531,gaussian,-20,24583
80532,burst,-15,29880
80533,gaussian,-15,30584
80534,gaussian,-15,30891
80535,burst,-10,10233
80536,gaussian,-25,25869
80537,burst,-20,14344
80538,burst,-20,42344
80539,burst,-20,1382
80540,burst,-10,35952
80541,sp,-30,43489
80542,gaussian,-25,32045
80543,sp,-10,19791
80544,burst,-10,19995
80545,burst,-20,46179
80546,sp,-25,16176
80547,burst,-25,49058
80548,gaussian,-20,25159
80549,burst,-15,20224
80550,sp,-20,1676
80551,sp,-25,48745
80552,burst,-10,12242
80553,gaussian,-10,6488
80554,gaussian,-25,579
80555,sp,-30,7384
80556,sp,-20,39898
80557,burst,-10,196
80558,gaussian,-15,10590
80559,burst,-25,31733
80560,burst,-20,12301
80561,burst,-20,37940
80562,burst,-10,28100
80563,gaussian,-30,42961
80564,gaussian,-15,27324
80565,gaussian,-10,479
80566,gaussian,-20,43179
80567,gaussian,-30,10494
80568,gaussian,-10,23370
80569,sp,-20,18139
80570,gaussian,-25,18317
80571,burst,-30,32300
80572,gaussian,-20,5959
80573,gaussian,-20,35595
80574,burst,-25,46904
80575,burst,-25,382
80576,burst,-20,22244
80577,gaussian,-20,25700
80578,sp,-30,45237
80579,gaussian,-20,25828
80580,gaussian,-10,34203
80581,burst,-30,30854
80582,gaussian,-25,48363
80583,burst,-25,31597
80584,gaussian,-10,1873
80585,sp,-10,41509
80586,gaussian,-25,9299
80587,burst,-30,475
80588,gaussian,-15,25258
80589,sp,-10,42527
80590,burst,-25,48868
80591,burst,-20,25026
80592,burst,-15,10083
80593,burst,-20,9539
80594,sp,-10,38731
80595,burst,-15,32109
80596,sp,-15,5419
80597,sp,-15,24993
80598,sp,-15,35466
80599,burst,-10,19701
80600,burst,-10,31343
80601,sp,-15,9234
80602,sp,-30,41724
80603,sp,-15,21304
80604,burst,-15,8044
80605,burst,-25,43894
80606,gaussian,-20,2989
80607,sp,-20,17182
80608,sp,-15,32410
80609,gaussian,-15,6327
80610,burst,-10,25670
80611,burst,-20,34660
80612,burst,-15,41750
80613,sp,-10,44294
80614,gaussian,-10,37746
80615,burst,-25,8160
80616,sp,-20,1151
80617,gaussian,-10,27845
80618,gaussian,-30,45008
80619,burst,-20,5455
80620,burst,-30,36529
80621,gaussian,-30,22827
80622,sp,-10,25224
80623,sp,-20,271
80624,sp,-25,1141
80625,gaussian,-10,49786
80626,gaussian,-15,31517
80627,gaussian,-30,7045
80628,gaussian,-15,45914
80629,sp,-15,8846
80630,gaussian,-10,42520
80631,burst,-20,26017
80632,gaussian,-15,14245
80633,burst,-30,32685
80634,burst,-30,18032
80635,sp,-15,11014
80636,gaussian,-10,27347
80637,gaussian,-20,39715
80638,sp,-25,13295
80639,sp,-20,38250
80640,burst,-20,15589
80641,gaussian,-20,45745
80642,burst,-10,7820
80643,sp,-30,8956
80644,sp,-10,17033
80645,burst,-20,31727
80646,burst,-25,38201
80647,sp,-20,31460
80648,sp,-20,17010
80649,gaussian,-25,37440
80650,burst,-25,15757
80651,burst,-10,19926
80652,gaussian,-30,14004
80653,sp,-25,20992
80654,sp,-10,6632
80655,gaussian,-20,27678
80656,sp,-10,21151
80657,gaussian,-20,37483
80658,gaussian,-30,34093
80659,sp,-25,45135
80660,sp,-20,21154
80661,burst,-20,49055
80662,burst,-15,2387
80663,burst,-10,34719
80664,gaussian,-25,42969
80665,gaussian,-20,11325
80666,sp,-10,2983
80667,sp,-30,31065
80668,burst,-30,38431
80669,burst,-10,1814
80670,gaussian,-25,24169
80671,sp,-30,24626
80672,sp,-20,12423
80673,burst,-10,42212
80674,burst,-25,43160
80675,burst,-25,2686
80676,gaussian,-20,21656
80677,burst,-30,18789
80678,gaussian,-15,16268
80679,sp,-10,30185
80680,burst,-20,32346
80681,burst,-20,22362
80682,gaussian,-10,26041
80683,gaussian,-15,10842
80684,sp,-20,2056
80685,gaussian,-30,48348
80686,burst,-10,10126
80687,burst,-20,7302
80688,gaussian,-15,7622
80689,burst,-15,45208
80690,gaussian,-25,14706
80691,burst,-20,26737
80692,sp,-25,20010
80693,sp,-25,623
80694,burst,-30,40399
80695,burst,-15,33640
80696,gaussian,-25,4026
80697,gaussian,-10,3052
80698,gaussian,-15,32447
80699,burst,-20,35237
80700,burst,-25,17359
80701,gaussian,-10,49167
80702,sp,-20,1719
80703,sp,-15,16010
80704,burst,-30,22573
80705,gaussian,-10,40829
80706,gaussian,-20,23591
80707,sp,-25,43786
80708,sp,-10,10537
80709,sp,-25,46499
80710,gaussian,-15,34318
80711,burst,-30,18690
80712,gaussian,-30,12815
80713,burst,-15,18264
80714,gaussian,-30,18352
80715,sp,-15,19509
80716,burst,-25,37728
80717,gaussian,-15,32188
80718,burst,-10,36891
80719,burst,-10,26102
80720,burst,-20,10823
80721,burst,-30,21918
80722,gaussian,-30,22265
80723,sp,-15,17945
80724,burst,-10,657
80725,sp,-15,10958
80726,burst,-25,24649
80727,gaussian,-10,37719
80728,sp,-10,45749
80729,burst,-10,10212
80730,sp,-20,39188
80731,burst,-15,17514
80732,burst,-20,43919
80733,burst,-15,11447
80734,burst,-10,17251
80735,gaussian,-30,3511
80736,sp,-30,26361
80737,burst,-25,6041
80738,burst,-10,3674
80739,sp,-15,11142
80740,burst,-20,15086
80741,gaussian,-15,36043
80742,sp,-30,34830
80743,sp,-25,11918
80744,gaussian,-25,43860
80745,gaussian,-25,42445
80746,gaussian,-15,44785
80747,sp,-25,21286
80748,sp,-15,28422
80749,sp,-30,21837
80750,sp,-20,17093
80751,burst,-30,42658
80752,burst,-30,39216
80753,burst,-30,19235
80754,sp,-15,40157
80755,burst,-20,36135
80756,burst,-30,23175
80757,burst,-30,40196
80758,burst,-15,38687
80759,burst,-20,28579
80760,gaussian,-15,27765
80761,sp,-10,14265
80762,sp,-20,47221
80763,sp,-15,20312
80764,sp,-20,8024
80765,sp,-10,20855
80766,gaussian,-20,37111
80767,gaussian,-30,1650
80768,burst,-15,36581
80769,sp,-25,24313
80770,gaussian,-15,48595
80771,gaussian,-10,28248
80772,sp,-30,42963
80773,burst,-20,18784
80774,burst,-30,47911
80775,sp,-30,30477
80776,gaussian,-20,14771
80777,sp,-10,868
80778,burst,-20,39175
80779,sp,-10,23482
80780,burst,-10,7109
80781,burst,-20,4244
80782,sp,-20,28632
80783,gaussian,-25,47114
80784,burst,-10,5714
80785,burst,-25,45426
80786,burst,-30,38525
80787,burst,-20,10673
80788,burst,-25,2643
80789,gaussian,-10,29652
80790,sp,-15,17244
80791,burst,-25,33710
80792,burst,-20,477
80793,gaussian,-25,39168
80794,gaussian,-25,49818
80795,gaussian,-15,46016
80796,sp,-30,40417
80797,gaussian,-25,15310
80798,gaussian,-25,16012
80799,burst,-15,47357
80800,burst,-20,12415
80801,gaussian,-15,993
80802,sp,-25,5840
80803,sp,-25,22761
80804,burst,-15,28622
80805,burst,-30,25073
80806,burst,-20,37901
80807,sp,-25,38942
80808,gaussian,-10,5776
80809,burst,-10,22
80810,gaussian,-20,23644
80811,sp,-20,463
80812,sp,-10,47285
80813,gaussian,-20,41129
80814,burst,-25,46330
80815,gaussian,-30,27994
80816,burst,-30,4174
80817,burst,-20,39072
80818,sp,-30,47048
80819,burst,-30,30766
80820,sp,-30,17167
80821,gaussian,-20,4708
80822,burst,-25,25341
80823,sp,-20,11153
80824,burst,-10,2066
80825,sp,-30,9151
80826,sp,-25,5179
80827,sp,-15,21327
80828,gaussian,-10,47613
80829,gaussian,-25,49089
80830,sp,-30,45469
80831,sp,-25,27210
80832,gaussian,-25,15785
80833,burst,-10,26121
80834,gaussian,-25,12518
80835,sp,-20,19056
80836,gaussian,-15,30807
80837,burst,-10,40242
80838,gaussian,-20,7768
80839,gaussian,-10,44571
80840,sp,-20,20377
80841,gaussian,-30,21158
80842,burst,-10,17284
80843,burst,-15,17645
80844,sp,-20,25919
80845,gaussian,-10,38497
80846,sp,-15,48447
80847,gaussian,-20,49954
80848,gaussian,-15,16398
80849,sp,-30,20840
80850,sp,-30,32763
80851,gaussian,-10,2172
80852,burst,-10,33627
80853,sp,-25,25038
80854,gaussian,-20,7429
80855,sp,-25,32380
80856,gaussian,-20,26554
80857,gaussian,-30,32061
80858,burst,-15,13594
80859,burst,-20,18314
80860,sp,-10,12817
80861,gaussian,-30,22580
80862,gaussian,-10,42272
80863,burst,-30,49086
80864,burst,-10,13739
80865,burst,-10,47561
80866,gaussian,-10,44433
80867,burst,-30,38913
80868,gaussian,-25,29077
80869,gaussian,-20,35783
80870,sp,-20,29964
80871,sp,-15,40030
80872,gaussian,-10,20850
80873,burst,-10,32058
80874,sp,-15,47619
80875,burst,-30,46919
80876,gaussian,-20,36187
80877,gaussian,-10,21020
80878,sp,-30,8698
80879,gaussian,-25,6566
80880,gaussian,-30,4401
80881,burst,-30,1699
80882,gaussian,-15,10747
80883,gaussian,-15,27850
80884,gaussian,-10,40774
80885,sp,-10,42919
80886,sp,-15,1978
80887,gaussian,-25,13795
80888,burst,-10,27916
80889,sp,-15,35455
80890,burst,-15,11311
80891,gaussian,-15,34254
80892,gaussian,-25,6628
80893,gaussian,-10,7554
80894,sp,-30,3630
80895,burst,-25,8598
80896,gaussian,-25,7032
80897,sp,-15,344
80898,burst,-10,42609
80899,gaussian,-30,35101
80900,sp,-25,7198
80901,burst,-20,9043
80902,gaussian,-15,10186
80903,burst,-30,25672
80904,sp,-10,12539
80905,gaussian,-25,8559
80906,burst,-10,6535
80907,burst,-15,9449
80908,burst,-15,46921
80909,gaussian,-25,22002
80910,gaussian,-10,24418
80911,burst,-30,34810
80912,burst,-30,38834
80913,burst,-25,16350
80914,burst,-25,29980
80915,burst,-20,5724
80916,burst,-10,12259
80917,sp,-10,19931
80918,gaussian,-30,33958
80919,sp,-10,41643
80920,burst,-10,32533
80921,gaussian,-10,16187
80922,gaussian,-30,19567
80923,gaussian,-25,13839
80924,burst,-10,43572
80925,gaussian,-15,13087
80926,sp,-25,43312
80927,burst,-15,32174
80928,gaussian,-20,46580
80929,gaussian,-15,1372
80930,sp,-25,44972
80931,sp,-25,9554
80932,gaussian,-25,641
80933,gaussian,-25,40071
80934,gaussian,-15,15183
80935,gaussian,-20,30734
80936,gaussian,-20,701
80937,burst,-10,44462
80938,sp,-10,934
80939,burst,-20,30383
80940,sp,-20,2152
80941,burst,-10,20422
80942,burst,-20,22535
80943,sp,-25,36718
80944,burst,-20,30984
80945,gaussian,-30,37157
80946,sp,-15,7957
80947,gaussian,-15,34140
80948,gaussian,-25,39688
80949,gaussian,-20,26972
80950,gaussian,-15,21143
80951,gaussian,-25,23327
80952,sp,-25,26232
80953,burst,-30,16177
80954,gaussian,-20,1114
80955,gaussian,-20,26266
80956,burst,-15,47886
80957,gaussian,-15,16140
80958,burst,-15,32722
80959,gaussian,-25,27717
80960,gaussian,-20,18456
80961,sp,-25,24191
80962,burst,-30,15187
80963,gaussian,-20,47237
80964,sp,-20,2486
80965,burst,-25,28302
80966,burst,-10,34998
80967,gaussian,-25,17516
80968,gaussian,-20,38592
80969,gaussian,-20,20661
80970,sp,-20,22395
80971,burst,-20,33850
80972,gaussian,-20,5230
80973,sp,-20,4231
80974,sp,-15,25852
80975,burst,-25,18701
80976,gaussian,-25,29071
80977,sp,-20,24401
80978,gaussian,-15,19300
80979,burst,-20,20714
80980,sp,-25,26863
80981,sp,-10,34209
80982,burst,-15,49092
80983,sp,-15,25266
80984,sp,-15,27451
80985,gaussian,-10,7811
80986,sp,-10,43629
80987,sp,-10,37231
80988,gaussian,-20,35019
80989,gaussian,-10,11470
80990,burst,-30,32601
80991,gaussian,-10,4524
80992,sp,-10,7756
80993,sp,-10,43121
80994,gaussian,-30,30188
80995,gaussian,-10,44441
80996,burst,-25,45333
80997,sp,-10,17418
80998,sp,-10,24907
80999,burst,-30,39776
81000,sp,-20,18611
81001,sp,-15,30199
81002,sp,-30,46928
81003,sp,-10,21453
81004,burst,-20,34450
81005,gaussian,-10,3391
81006,burst,-20,30288
81007,sp,-15,30672
81008,sp,-25,14122
81009,burst,-15,37217
81010,gaussian,-20,26882
81011,sp,-10,47707
81012,sp,-10,4475
81013,gaussian,-25,17104
81014,gaussian,-10,16204
81015,burst,-10,25635
81016,burst,-25,282
81017,burst,-20,32371
